"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"223","0.969259015332525","16.3441815765686","344","0.0131959393500002","0.767621477568005","Sangha","Republic of Congo","points","1","13"
"67","1.20329422909768","16.5389854540988","348","0.00985223473438235","5.63731488764132","Sangha","Republic of Congo","points","1","13"
"204","0.815039279094215","16.8525655847341","331","0.000428698032009016","3.46136355595789","Likouala","Republic of Congo","points","1","13"
"94","0.942744043137167","16.6320584178076","349","0.00724604725001708","1.7400926230802","Sangha","Republic of Congo","points","1","13"
"48","1.23494985916765","16.5506195745624","361","0.0028486154296808","3.5814636612306","Sangha","Republic of Congo","points","1","13"
"18","1.50956921404815","16.5195050663458","344","0.00869845379622308","3.20361623629066","Sangha","Republic of Congo","points","1","13"
"3","1.55772906150502","16.0857958779002","359","0.00122831695680059","0.109962538996742","Sangha","Republic of Congo","points","1","13"
"125","0.86861034536647","16.5519723792674","341","0.000976248944963671","3.72655234981632","Sangha","Republic of Congo","points","1","13"
"270","0.943014604077936","16.2800586335483","358","0.00257219175389632","2.82181109448376","Sangha","Republic of Congo","points","1","13"
"89","0.928945435157949","16.5703705232564","336","0.00352012959129883","3.41289630692669","Sangha","Republic of Congo","points","1","13"
"183","0.83749583717804","16.7075449203505","335","0.00154287556706274","0.657842461646085","Sangha","Republic of Congo","points","1","13"
"266","1.07396609941011","16.7573281334971","340","0.00848395800268535","2.2238211989375","Sangha","Republic of Congo","points","1","13"
"162","1.2955555098999","16.6618201213192","355","0.00128611319554104","2.82177542696191","Sangha","Republic of Congo","points","1","13"
"278","1.38916959540596","16.1645291117353","364","0.00506913411479863","0.592430711460349","Sangha","Republic of Congo","points","1","13"
"132","0.907300559896432","16.3384997968074","343","0.0038121909685166","1.71361923897172","Sangha","Republic of Congo","points","1","13"
"243","1.07477778223242","16.3482399906839","360","0.00422668149208412","0.69152270652304","Sangha","Republic of Congo","points","1","13"
"5","0.891608025331832","16.544126111978","339","0.00179857045312589","4.48414044869902","Sangha","Republic of Congo","points","1","13"
"114","1.43245934592899","16.062798197914","388","0.00978180666936748","2.06178905442055","Sangha","Republic of Congo","points","1","13"
"262","0.886196806516453","16.7906071292418","332","0.00102738459593156","1.97808208421884","Likouala","Republic of Congo","points","1","13"
"184","1.21114049637998","16.7083566031736","352","0.0061177935100396","3.20773125289186","Sangha","Republic of Congo","points","1","13"
"39","1.24333724833149","15.9989458158347","370","0.0082759964828787","1.68578697082248","Sangha","Republic of Congo","points","1","13"
"160","0.95221367606408","16.1499188209206","372","0.00805788527517451","2.67308190127572","Sangha","Republic of Congo","points","1","13"
"11","0.894043073798753","16.5587364027928","341","0.00344187944298102","0.782100861085547","Sangha","Republic of Congo","points","1","13"
"213","1.50199350770662","16.8536478284981","336","0.00569680058278968","1.01940752269165","Likouala","Republic of Congo","points","1","13"
"169","1.50929865310738","16.6155542004057","366","0.000857416916087998","2.82174776122081","Sangha","Republic of Congo","points","1","13"
"221","1.06666095400935","16.3912591803051","347","0.00277939505591827","4.20250717075404","Sangha","Republic of Congo","points","1","13"
"190","1.17055635526463","16.486226070601","347","0.00301760681011579","2.03705224551415","Sangha","Republic of Congo","points","1","13"
"154","1.18679001171077","16.4616050249688","348","0.00057367515111898","3.92373979323007","Sangha","Republic of Congo","points","1","13"
"136","1.503887434292","16.7841136666575","361","0.00972000050273325","1.5149437772202","Likouala","Republic of Congo","points","1","13"
"282","1.24117276080533","16.2892577055428","350","0.00363530826203787","3.60265186285672","Sangha","Republic of Congo","points","1","13"
"257","1.3269405790291","16.3552745751502","353","0.00713869842303532","1.37960871581596","Sangha","Republic of Congo","points","1","13"
"281","1.03933429899169","16.3165843605852","350","0.00368487570596787","1.15386848119816","Sangha","Republic of Congo","points","1","13"
"13","1.57585664453654","16.735953819157","387","0.0120218593523509","3.33337423206546","Likouala","Republic of Congo","points","1","13"
"69","0.915146827178732","16.0016514252449","360","0.014492069707395","1.14632348602423","Sangha","Republic of Congo","points","1","13"
"286","1.31476533669449","16.5527840620905","360","0.00213248164189232","5.03608088456301","Sangha","Republic of Congo","points","1","13"
"240","0.94977862759716","16.0119327410034","357","0.000852897040743965","1.24706638403754","Sangha","Republic of Congo","points","1","13"
"261","0.817203766620367","16.2981862165963","351","0.00128609372921019","2.82182113254012","Sangha","Republic of Congo","points","1","13"
"210","1.27661624404607","16.8114403216999","339","0.00821979034231979","1.97803506993333","Likouala","Republic of Congo","points","1","13"
"225","1.3077307522345","15.9927229141914","405","0.0252430438493228","4.65325337986061","Sangha","Republic of Congo","points","1","13"
"280","0.843718738815726","16.8809744835405","332","0.00042869838869412","2.82181923860512","Likouala","Republic of Congo","points","1","13"
"80","0.91325290059335","16.8225333202815","334","0.000691535336331425","2.94546056510381","Likouala","Republic of Congo","points","1","13"
"244","1.23251481070073","16.3853068396028","342","0.00478568894747819","3.88377997478483","Sangha","Republic of Congo","points","1","13"
"161","1.04501607874784","16.8076524685257","332","0.000691536380919611","6.08704561623699","Likouala","Republic of Congo","points","1","13"
"24","1.34777377146831","15.9616084059748","386","0.00850096377886564","4.76027908673517","Sangha","Republic of Congo","points","1","13"
"157","1.1586516738708","16.8276739781608","330","0.00116194224472499","2.19412859430274","Likouala","Republic of Congo","points","1","13"
"44","1.16893298962002","16.2186412999381","374","0.0152769255793064","0.370069562649108","Sangha","Republic of Congo","points","1","13"
"258","1.01498381432248","16.8295679047479","332","0.000603497763300823","1.10451926214842","Likouala","Republic of Congo","points","1","13"
"265","1.36103125756599","16.5782167905458","351","0.00333180279928043","4.3372127190094","Sangha","Republic of Congo","points","1","13"
"102","1.22899751847073","16.5525135011495","353","0.00345438263419862","3.58517850201627","Sangha","Republic of Congo","points","1","13"
"165","1.08262404951472","16.5406088197449","347","0.00471229611280106","1.98561348562606","Sangha","Republic of Congo","points","1","13"
"81","1.20329422909768","16.8463426830907","336","0.0126295439428126","3.4005823283122","Likouala","Republic of Congo","points","1","13"
"53","0.925428142927953","15.9672901857361","356","0.0105462953280183","5.9714920331096","Sangha","Republic of Congo","points","1","13"
"241","0.849400518571874","16.5757817420767","335","0.00667016387535171","4.46585097430687","Sangha","Republic of Congo","points","1","13"
"141","1.57612720547731","16.0768673668468","348","0.00765661548824496","5.45098242937273","Sangha","Republic of Congo","points","1","31"
"159","1.57369215701039","16.0995944858919","354","0.00669483225822644","0.810795933280624","Sangha","Republic of Congo","points","1","31"
"42","1.57288047418808","16.0611748322679","355","0.00607946934797734","1.63778667975402","Sangha","Republic of Congo","points","1","31"
"249","1.52417950484967","15.9602556012697","515","0.0151892050004933","1.03673858220189","Sangha","Republic of Congo","points","1","31"
"38","1.5195799688566","15.8550073952152","458","0.00613391321273948","3.86141576039754","Sangha","Republic of Congo","points","1","31"
"247","1.51416875004122","15.9245415570558","429","0.00325786589471673","3.8650739469637","Sangha","Republic of Congo","points","1","31"
"131","1.44301122261898","16.3219955794055","376","0.00756440365462682","3.39371670823294","Sangha","Republic of Congo","points","1","31"
"168","1.44030561321129","16.3079264104728","379","0.00668860319492976","3.44867387814903","Sangha","Republic of Congo","points","1","31"
"235","1.4367883209813","16.1515421865666","369","0.0177430130860967","1.11141190039337","Sangha","Republic of Congo","points","1","31"
"224","1.43651776004053","16.1431547973952","377","0.0174745010595893","0.880837682305007","Sangha","Republic of Congo","points","1","31"
"21","1.43083598028438","16.293045558717","368","0.0124295843268794","3.92378795772306","Sangha","Republic of Congo","points","1","31"
"120","1.42785980993592","16.1255683362293","406","0.0152299247465967","6.13216868103595","Sangha","Republic of Congo","points","1","31"
"268","1.42758924899515","16.2971039728322","368","0.0124295843268794","3.92378795772306","Sangha","Republic of Congo","points","1","31"
"71","1.425424761469","16.1948319371289","350","0.00594386009896117","0.420461853242248","Sangha","Republic of Congo","points","1","31"
"146","1.41595512854209","16.2002431559492","363","0.00747492980159812","0.388354360760332","Sangha","Republic of Congo","points","1","31"
"222","1.41270839725286","16.1499188209206","377","0.0105367623193928","2.4138722787855","Sangha","Republic of Congo","points","1","31"
"134","1.41108503160824","16.3430993328046","369","0.00441563594444722","3.32578247347225","Sangha","Republic of Congo","points","1","31"
"164","1.39863922833287","16.3493222344479","376","0.0122717768056227","4.74555617876538","Sangha","Republic of Congo","points","1","31"
"275","1.39620417986595","16.197266985598","368","0.00287607706591065","2.42594292343033","Sangha","Republic of Congo","points","1","31"
"20","1.38592286411673","16.3555451360912","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","points","1","31"
"179","1.37753547495289","16.3539217704452","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","points","1","31"
"37","1.37104201237444","16.3585213064424","357","0.00776151644261138","3.22852997891782","Sangha","Republic of Congo","points","1","31"
